names;prices;link_image
  Apple iPhone 8 256 Go ; 509 900 FCFA ;https://www.ivoiremobiles.net/12957-home_default/apple-iphone-8-64-go.jpg
  Apple iPhone 8 64 Go ; 124 900 FCFA ;https://www.ivoiremobiles.net/15885-home_default/apple-iphone-8-64-go.jpg
  Apple iPhone 8 Plus 64 Go ; 154 900 FCFA ;https://www.ivoiremobiles.net/15886-home_default/apple-iphone-8-plus-64-go.jpg
  Apple iPhone 6s 16 Go ; 99 900 FCFA ;https://www.ivoiremobiles.net/20408-home_default/apple-iphone-6s-16-go.jpg
  Apple iPhone 6s Plus 16 Go ; 119 900 FCFA ;https://www.ivoiremobiles.net/20410-home_default/apple-iphone-6s-16-go.jpg
  Apple iPhone 6s 64 Go ; 119 900 FCFA ;https://www.ivoiremobiles.net/20409-home_default/apple-iphone-6s-16-go.jpg
  Apple iPhone 6s 128 Go ; 129 900 FCFA ;https://www.ivoiremobiles.net/14759-home_default/apple-iphone-6s-16-go.jpg
  Apple iPhone 6s Plus 64 Go ; 159 900 FCFA ;https://www.ivoiremobiles.net/14765-home_default/apple-iphone-6s-16-go.jpg
  Apple iPhone 6s 32 Go ; 109 900 FCFA ;https://www.ivoiremobiles.net/14761-home_default/apple-iphone-6s-16-go.jpg
  Apple iPhone XR 128 Go ; 209 900 FCFA ;https://www.ivoiremobiles.net/20930-home_default/apple-iphone-xr-128-go.jpg
  Apple iPhone XR 64 Go ; 189 900 FCFA ;https://www.ivoiremobiles.net/15888-home_default/apple-iphone-xr-64-go.jpg
  Apple iPhone 5S 16 Go ; 64 900 FCFA ;https://www.ivoiremobiles.net/18524-home_default/apple-iphone-5s-16-go.jpg
  Apple iPhone 5S 32 Go ; 79 900 FCFA ;https://www.ivoiremobiles.net/12906-home_default/apple-iphone-5s-32-go.jpg
  Apple iPhone 5c 16 Go ; 64 900 FCFA ;https://www.ivoiremobiles.net/12903-home_default/apple-iphone-se.jpg
  Apple iPhone 5c 32 Go ; 74 900 FCFA ;https://www.ivoiremobiles.net/12904-home_default/apple-iphone-se.jpg
  Apple iPad Pro 12.9 2017 (2th Generation)... ; 719 900 FCFA ;https://www.ivoiremobiles.net/13583-home_default/apple-ipad-pro-105-64-go.jpg
  Apple iPad Pro 10.5 (2017) ; 479 900 FCFA ;https://www.ivoiremobiles.net/14060-home_default/apple-ipad-pro-105-64-go.jpg
  Apple iPad 10.2 2020 32 Go (8th... ; 309 900 FCFA ;https://www.ivoiremobiles.net/20791-home_default/apple-ipad-102-2020-32-go-8th-generation-wi-ficellular.jpg
  BlackBerry Leap ; 79 900 FCFA ;https://www.ivoiremobiles.net/13019-home_default/blackberry-leap.jpg
  BlackBerry Passport Silver Edition ; 209 900 FCFA ;https://www.ivoiremobiles.net/13021-home_default/blackberry-passport-silver-edition-.jpg
  Infinix ZERO 3 ; 89 900 FCFA ;https://www.ivoiremobiles.net/13209-home_default/infinix-zero-3.jpg
  Apple iPad Pro 9.7 (2016) ; 349 900 FCFA ;https://www.ivoiremobiles.net/13585-home_default/apple-ipad-pro.jpg
  Tecno Phantom 8 ; 114 900 FCFA ;https://www.ivoiremobiles.net/14602-home_default/tecno-phantom-8.jpg
  PS4 500 Go + 3 Jeux ; 309 900 FCFA ;https://www.ivoiremobiles.net/10286-home_default/ps4-500-go.jpg
  PS4 1 To ; 299 900 FCFA ;https://www.ivoiremobiles.net/10291-home_default/ps4-1-to.jpg
  Apple iPad 10.2 2019 (7th Generation)... ; 429 900 FCFA ;https://www.ivoiremobiles.net/16891-home_default/apple-ipad-102-7th-generation-wi-ficellular-128-go.jpg
  Apple iPad 10.2 2020 128 Go (8th... ; 409 900 FCFA ;https://www.ivoiremobiles.net/16885-home_default/apple-ipad-102-2020-128-go-8th-generation-wi-ficellular.jpg
  Apple MacBook Pro 13 pouces ; 699 900 FCFA ;https://www.ivoiremobiles.net/19492-home_default/apple-macbook-pro-13.jpg
